tournament_year,player_name,player_name_en,position,season,club,league,country,club_lat,club_lng,appearances
2018,川島永嗣,Eiji Kawashima,GK,2015,Standard Liège,Belgian Pro League,Belgium,50.6100,5.5433,19
2018,川島永嗣,Eiji Kawashima,GK,2016,Dundee United F.C.,Scottish Premiership,Scotland,56.4747,-2.9689,19
2018,川島永嗣,Eiji Kawashima,GK,2017,FC Metz,Ligue 1,France,49.1098,6.1595,6
2018,川島永嗣,Eiji Kawashima,GK,2018,FC Metz,Ligue 1,France,49.1098,6.1595,30
2018,東口順昭,Masaaki Higashiguchi,GK,2015,Gamba Osaka,J1 League,Japan,34.8028,135.5382,55
2018,東口順昭,Masaaki Higashiguchi,GK,2016,Gamba Osaka,J1 League,Japan,34.8028,135.5382,41
2018,東口順昭,Masaaki Higashiguchi,GK,2017,Gamba Osaka,J1 League,Japan,34.8028,135.5382,41
2018,東口順昭,Masaaki Higashiguchi,GK,2018,Gamba Osaka,J1 League,Japan,34.8028,135.5382,32
2018,中村航輔,Kōsuke Nakamura,GK,2015,Avispa Fukuoka,J2 League,Japan,33.5859,130.4608,21
2018,中村航輔,Kōsuke Nakamura,GK,2016,Kashiwa Reysol,J1 League,Japan,35.8485,139.9751,32
2018,中村航輔,Kōsuke Nakamura,GK,2017,Kashiwa Reysol,J1 League,Japan,35.8485,139.9751,38
2018,中村航輔,Kōsuke Nakamura,GK,2018,Kashiwa Reysol,J1 League,Japan,35.8485,139.9751,21
2018,長友佑都,Yuto Nagatomo,DF,2015,Inter Milan,Serie A,Italy,45.4781,9.1239,18
2018,長友佑都,Yuto Nagatomo,DF,2016,Inter Milan,Serie A,Italy,45.4781,9.1239,26
2018,長友佑都,Yuto Nagatomo,DF,2017,Inter Milan,Serie A,Italy,45.4781,9.1239,20
2018,長友佑都,Yuto Nagatomo,DF,2018,Inter Milan,Serie A,Italy,45.4781,9.1239,13
2018,長友佑都,Yuto Nagatomo,DF,2018,Galatasaray S.K.,Süper Lig,Turkey,41.1028,28.9906,16
2018,槙野智章,Tomoaki Makino,DF,2015,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,43
2018,槙野智章,Tomoaki Makino,DF,2016,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,39
2018,槙野智章,Tomoaki Makino,DF,2017,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,50
2018,槙野智章,Tomoaki Makino,DF,2018,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,39
2018,吉田麻也,Maya Yoshida,DF,2015,Southampton F.C.,Premier League,England,50.9058,-1.3911,23
