tournament_year,player_name,player_name_en,position,season,club,league,country,club_lat,club_lng,appearances
2022,権田修一,Shūichi Gonda,GK,2019,Portimonense S.C.,Primeira Liga,Portugal,37.1358,-8.5397,1
2022,権田修一,Shūichi Gonda,GK,2020,Portimonense S.C.,Primeira Liga,Portugal,37.1358,-8.5397,18
2022,権田修一,Shūichi Gonda,GK,2021,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,38
2022,権田修一,Shūichi Gonda,GK,2022,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,35
2022,権田修一,Shūichi Gonda,GK,2023,Shimizu S-Pulse,J2 League,Japan,34.9844,138.4811,2
2022,川島永嗣,Eiji Kawashima,GK,2019,RC Strasbourg Alsace,Ligue 1,France,48.5600,7.7550,1
2022,川島永嗣,Eiji Kawashima,GK,2021,RC Strasbourg Alsace,Ligue 1,France,48.5600,7.7550,24
2022,川島永嗣,Eiji Kawashima,GK,2022,RC Strasbourg Alsace,Ligue 1,France,48.5600,7.7550,2
2022,川島永嗣,Eiji Kawashima,GK,2023,RC Strasbourg Alsace,Ligue 1,France,48.5600,7.7550,1
2022,シュミット・ダニエル,Daniel Schmidt,GK,2019,Vegalta Sendai,J1 League,Japan,38.3192,140.8819,19
2022,シュミット・ダニエル,Daniel Schmidt,GK,2020,Sint-Truidense V.V.,Belgian Pro League,Belgium,50.8135,5.1663,22
2022,シュミット・ダニエル,Daniel Schmidt,GK,2021,Sint-Truidense V.V.,Belgian Pro League,Belgium,50.8135,5.1663,24
2022,シュミット・ダニエル,Daniel Schmidt,GK,2022,Sint-Truidense V.V.,Belgian Pro League,Belgium,50.8135,5.1663,31
2022,シュミット・ダニエル,Daniel Schmidt,GK,2023,Sint-Truidense V.V.,Belgian Pro League,Belgium,50.8135,5.1663,33
2022,山根視来,Miki Yamane,DF,2019,Shonan Bellmare,J1 League,Japan,35.3436,139.3413,35
2022,山根視来,Miki Yamane,DF,2020,Kawasaki Frontale,J1 League,Japan,35.5848,139.6418,38
2022,山根視来,Miki Yamane,DF,2021,Kawasaki Frontale,J1 League,Japan,35.5848,139.6418,48
2022,山根視来,Miki Yamane,DF,2022,Kawasaki Frontale,J1 League,Japan,35.5848,139.6418,38
2022,谷口彰悟,Shōgo Taniguchi,DF,2019,Kawasaki Frontale,J1 League,Japan,35.5848,139.6418,44
2022,谷口彰悟,Shōgo Taniguchi,DF,2020,Kawasaki Frontale,J1 League,Japan,35.5848,139.6418,36
2022,谷口彰悟,Shōgo Taniguchi,DF,2021,Kawasaki Frontale,J1 League,Japan,35.5848,139.6418,41
2022,谷口彰悟,Shōgo Taniguchi,DF,2022,Kawasaki Frontale,J1 League,Japan,35.5848,139.6418,41
2022,板倉滉,Ko Itakura,DF,2020,FC Groningen,Eredivisie,Netherlands,53.2061,6.5914,23
2022,板倉滉,Ko Itakura,DF,2021,FC Groningen,Eredivisie,Netherlands,53.2061,6.5914,36
2022,板倉滉,Ko Itakura,DF,2022,FC Schalke 04,2. Bundesliga,Germany,51.5544,7.0675,32
2022,板倉滉,Ko Itakura,DF,2023,Borussia Mönchengladbach,Bundesliga,Germany,51.1747,6.3856,25
2022,長友佑都,Yuto Nagatomo,DF,2019,Galatasaray S.K.,Süper Lig,Turkey,41.1028,28.9906,25
2022,長友佑都,Yuto Nagatomo,DF,2020,Galatasaray S.K.,Süper Lig,Turkey,41.1028,28.9906,24
2022,長友佑都,Yuto Nagatomo,DF,2021,Olympique de Marseille,Ligue 1,France,43.2697,5.3958,29
2022,長友佑都,Yuto Nagatomo,DF,2021,FC Tokyo,J1 League,Japan,35.6643,139.5271,10
2022,長友佑都,Yuto Nagatomo,DF,2022,FC Tokyo,J1 League,Japan,35.6643,139.5271,31
2022,冨安健洋,Takehiro Tomiyasu,DF,2019,Sint-Truidense V.V.,Belgian Pro League,Belgium,50.8135,5.1663,40
2022,冨安健洋,Takehiro Tomiyasu,DF,2020,Bologna F.C. 1909,Serie A,Italy,44.4922,11.3097,30
2022,冨安健洋,Takehiro Tomiyasu,DF,2021,Bologna F.C. 1909,Serie A,Italy,44.4922,11.3097,33
2022,冨安健洋,Takehiro Tomiyasu,DF,2022,Bologna F.C. 1909,Serie A,Italy,44.4922,11.3097,1
2022,冨安健洋,Takehiro Tomiyasu,DF,2022,Arsenal F.C.,Premier League,England,51.5550,-0.1083,22
2022,冨安健洋,Takehiro Tomiyasu,DF,2023,Arsenal F.C.,Premier League,England,51.5550,-0.1083,31
