tournament_year,player_name,player_name_en,position,season,club,league,country,club_lat,club_lng,appearances
2006,楢崎正剛,Seigo Narazaki,GK,2003,Nagoya Grampus,J1 League,Japan,35.1227,136.9443,36
2006,楢崎正剛,Seigo Narazaki,GK,2004,Nagoya Grampus,J1 League,Japan,35.1227,136.9443,28
2006,楢崎正剛,Seigo Narazaki,GK,2005,Nagoya Grampus,J1 League,Japan,35.1227,136.9443,33
2006,楢崎正剛,Seigo Narazaki,GK,2006,Nagoya Grampus,J1 League,Japan,35.1227,136.9443,28
2006,土肥洋一,Yoichi Doi,GK,2003,FC Tokyo,J1 League,Japan,35.6643,139.5271,38
2006,土肥洋一,Yoichi Doi,GK,2004,FC Tokyo,J1 League,Japan,35.6643,139.5271,34
2006,土肥洋一,Yoichi Doi,GK,2005,FC Tokyo,J1 League,Japan,35.6643,139.5271,36
2006,土肥洋一,Yoichi Doi,GK,2006,FC Tokyo,J1 League,Japan,35.6643,139.5271,34
2006,川口能活,Yoshikatsu Kawaguchi,GK,2003,FC Nordsjælland,Danish Superliga,Denmark,55.8158,12.3533,8
2006,川口能活,Yoshikatsu Kawaguchi,GK,2005,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,34
2006,川口能活,Yoshikatsu Kawaguchi,GK,2006,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,38
2006,田中誠,Makoto Tanaka,DF,2003,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,34
2006,田中誠,Makoto Tanaka,DF,2004,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,31
2006,田中誠,Makoto Tanaka,DF,2005,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,34
2006,田中誠,Makoto Tanaka,DF,2006,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,28
2006,駒野友一,Yuichi Komano,DF,2003,Sanfrecce Hiroshima,J2 League,Japan,34.4408,132.3943,23
2006,駒野友一,Yuichi Komano,DF,2004,Sanfrecce Hiroshima,J1 League,Japan,34.4408,132.3943,22
2006,駒野友一,Yuichi Komano,DF,2005,Sanfrecce Hiroshima,J1 League,Japan,34.4408,132.3943,39
2006,駒野友一,Yuichi Komano,DF,2006,Sanfrecce Hiroshima,J1 League,Japan,34.4408,132.3943,34
